book_title,book_author,book_translator,book_pub_date,book_isbn
HOW TO WALK,틱낫한 ,진우기 ,2018-01-29,9791157842285
4차 산업혁명 시대의 기업 혁신을 위한 비즈니스 프로세스,"정승렬 , 이정규 ",,2018-03-10,9791156643913
HOW TO SIT,틱낫한 ,진우기 ,2018-01-29,9791157842278
HOW TO RELAX,틱낫한 ,진우기 ,2018-01-29,9791157842261
3D 프린팅을 위한 스케치업,리디아 클라인 ,민혜기 ,2017-05-01,9788968483578
HOW TO LOVE,틱낫한 ,진우기 ,2018-01-29,9791157842254
돌아온 여행자에게,란바이퉈 ,이현아 ,2018-02-05,9791157842322
HOW TO EAT,틱낫한 ,진우기 ,2018-01-29,9791157842247
저는 스타트업이 처음인데요,권오상 ,,2018-02-22,9791157842353
쿠버네티스 모범 사례,"브렌던 번스 , 에디 비얄바 , 데이브 스트레벨 , 라클런 이븐슨 ",장정호 ,2020-12-01,9791162243640
퇴근길 인문학 수업 : 뉴노멀,"백상경제연구원 , 김경미 , 연유진 , 이준정 , 김숙 , 오준호 , 장형진 , 이효정 , 강학중 , 김선아 , 문승호 , 안나미 , 조현수 ",,2020-06-30,9791157844265
파리지엔은 사랑하기를 포기하지 않는다,"플로랑스 베송 , 에바 아모르 , 클레르 스타인렌 ",곽미성 ,2018-02-28,9791157842414
스웨덴은 어떻게 원하는 삶을 사는가,라르스 다니엘손 ,박현정 ,2018-03-06,9791157842438
세상에서 제일 빠른 3분 삼국지 톡,심쌤 ,,2018-03-19,9791157842469
더 저널리스트 02,조지 오웰 ,김영진 ,2018-03-10,9791157842339
알리기 전에  알면 좋은 사실들,홍태화 ,,2018-03-20,9791157842445
거절당하기 연습,지아 장 ,임지연 ,2017-01-24,9791157841684
Make: 심플 로봇,케이티 세서리 ,임지순 ,2016-08-01,9788968484971
북유럽 비즈니스 산책,하수정 ,,2017-01-30,9791157841691
"IT CookBook, 전자상거래와 e-비즈니스(개정3판)",이동훈 ,,2015-12-28,9791156642435
HOW TO 시리즈(세트),틱낫한 ,진우기 ,2018-01-29,9791157842230
딥 스마트 : 똑똑한 조직을 만드는 탁월한 리더,이정규 ,,2011-06-12,9788994120171
전자부품 백과사전 vol.1 : 전력 전원 및 변환,찰스 플랫 ,배지은 ,2014-12-26,9788968481505
메이커 운동 선언 : 테크숍 CEO가 말하는 미래를 지배할 혁신의 원칙,마크 해치 ,정향 ,2014-05-20,9788968480980
전자부품 백과사전 vol.2 : 신호 처리,찰스 플랫 ,"배지은 , 이하영 ",2015-12-01,9788968482373
Maker Pro : 메이커 프로,존 베이첼 ,정향 ,2015-07-28,9788968482038
Make: Technology on Your Time Volume 02,오라일리 / 메이크 미디어 (Make Media) ,한빛미디어 / Make ,2011-09-06,9788979148411
퇴근길 인문학 수업 : 연결,백상경제연구원 ,,2019-09-30,9791157843640
Zero to Maker: 누구나 메이커가 될 수 있다,데이비드 랭 ,장재웅 ,2015-02-27,9788968481710
Make: Technology on Your Time Volume 01,오라일리 / 메이크 미디어 (Make Media) ,한빛미디어 / Make ,2011-05-09,9788979147728
프레임 대 프레임,조윤호 ,,2017-03-20,9791157841769
인사담당자 100명의 비밀녹취록,"김도윤 , 제갈현열 ",,2017-02-17,9791157841707
고양이 부처는 고민이 없다냥,미야시타 마코토 ,김희은 ,2017-03-17,9791157841752
어휘력이 교양이다,사이토 다카시 ,장은주 ,2017-04-03,9791157841738
Make: Technology on Your Time Volume 03,오라일리 / 메이크 미디어 (Make Media) ,한빛미디어 / Make ,2012-04-02,9788979149128
원자재전쟁,유태원 ,,2017-04-24,9791157841806
Make: Technology on Your Time Volume 04,오라일리 / 메이크 미디어 (Make Media) ,한빛미디어 / Make ,2012-09-28,9788979149586
"제4의 물결, 답은 역사에 있다",고평석 ,,2017-04-15,9791157841790
Make: Technology on Your Time Volume 05,오라일리 미디어 (메이크 편집부) ,한빛미디어 / Make ,2013-03-07,9788979149753
"소셜 모바일 시대, QR 코드 마케팅 전략","박은숙 , 박윤선 ",,2011-05-17,9788979148282
Make : Technology on Your Time Volume 07,메이커 미디어 ,한빛미디어 / Make ,2013-12-28,9788968480669
Make : Technology on Your Time Volume 06,메이커 미디어 ,한빛미디어 / Make ,2013-05-21,9788968480188
백만 방문자와 소통하는 블로그 마케팅,조재형 ,,2015-06-28,9788968481994
Make: 센서,"테로 카르비넨 , 키모 카르비넨 , 빌리 발토카리 ","지영민 , 남기혁 ",2015-09-28,9788968482205
백만 방문자와 소통하는 소셜 홍보 마케팅,김진 ,,2015-09-18,9788968482236
Make: Technology on Your Time Volume 08,메이크 미디어 (Make Media) ,한빛미디어 / Make ,2015-06-28,9788968480836
백만 방문자와 소통하는 페이스북 마케팅,"종유진 , 최규문 ",,2016-10-10,9788968482601
저는 재테크가 처음인데요 완전 개정판,김태형 ,,2017-04-26,9791157841837
천 명의 눈 속에는 천 개의 세상이 있다,가오밍 ,이현아 ,2017-06-30,9791157841936
조르바의 인생수업,장석주 ,,2017-05-20,9791157841844
전자부품 백과사전 vol.3,"찰스 플랫 , 프레드릭 얀슨 ","배지은 , 이하영 ",2017-05-01,9788968483493
"다시, 논어",박영규 ,,2017-05-25,9791157841851
나는 중국이 매일 낯설다,이상관 ,,2017-06-30,9791157841905
잠시 멈춤이 필요한 순간,저우궈핑 ,정세경 ,2017-07-25,9791157841981
처음 시작하는 센서,"키모 카르비넨 , 테로 카르비넨 ",임지순 ,2015-02-25,9788968481697
Make : 아두이노 DIY 프로젝트,"키모 카르비넨 , 테로 카르비넨 ",배지은 ,2014-01-02,9788968480737
지적 생활 습관,도야마 시게히코 ,장은주 ,2017-08-10,9791157841998
"자바 프로그래밍 면접, 이렇게 준비한다",노엘 마크엄 ,정원천 ,2015-01-23,9788968481529
